asset_id,asset_name,asset_type,program_name,state,lga,community,developer,owner_operator,technology,status,capacity_kw,customers_served,financing_source,latitude,longitude,geocode_precision,coordinate_source,source_name,source_url,source_date_accessed,evidence_level,record_origin,notes
rea-eep-atbu,Abubakar Tafawa Balewa University solar-hybrid plant,captive_off_grid,Energizing Education Programme Phase I,Bauchi,Ganjuwa,Gubi Campus,Rural Electrification Agency,Abubakar Tafawa Balewa University,solar_hybrid,commissioned,1100,,Federal Government of Nigeria,10.750000,9.820000,campus,"Published Gubi Campus coordinate; facility position within campus not identified",REA Energizing Education Programme sustainability release,https://www.dares.rea.gov.ng/energizing-education-rea-secures-universitys-commitment-to-eep-sustainability.html,2026-07-24,official_commissioned,official_supplement,"REA lists 1.1 MW and states that seven Phase I solar-hybrid sites were commissioned; current operating performance requires verification."
rea-eep-buk,Bayero University Kano EEP solar-hybrid plant,captive_off_grid,Energizing Education Programme Phase I,Kano,Ungogo,New Campus,Rural Electrification Agency,Bayero University Kano,solar_hybrid,under_rehabilitation,6000,,Federal Government of Nigeria,11.970334,8.426972,campus,"OpenStreetMap university centroid; facility position within campus not identified",Bayero University Kano solar upgrade announcement,https://buk.edu.ng/node/808,2026-07-24,official_current_status,official_supplement,"Commissioned as a 7.1 MW EEP project in 2019. BUK reported in November 2025 that the existing 3.5 MW infrastructure had gone down and a rehabilitation/upgrade to 6 MW had commenced; 6 MW is the upgrade target, not verified operating capacity."
ecreee-buk-2024,Bayero University Chemical and Petroleum Engineering off-grid solar facility,off_grid_solar,ECOWAS Special Intervention Fund,Kano,Ungogo,New Campus Department of Chemical and Petroleum Engineering,ECREEE,Bayero University Kano,solar_battery,commissioned,79,,ECOWAS Special Intervention Fund,11.970334,8.426972,campus,"OpenStreetMap university centroid; department installation position not identified",ECREEE inauguration of Bayero University solar PV installation,https://www.ecreee.org/inauguration-solar-photovoltaic-installation-at-the-bayero-university/,2026-07-24,official_commissioned,official_supplement,"Separate 79 kWp PV / 58 kW inverter / 60 kWh battery installation inaugurated 31 May 2024."
rea-eep-jostum,Joseph Sarwuan Tarka University Makurdi solar-hybrid plant,captive_off_grid,Energizing Education Programme Phase I,Benue,Makurdi,University campus,Rural Electrification Agency,Joseph Sarwuan Tarka University Makurdi,solar_hybrid,commissioned,8300,,Federal Government of Nigeria,7.784214,8.618417,campus,OpenStreetMap university centroid,REA Energizing Education Programme sustainability release,https://www.dares.rea.gov.ng/energizing-education-rea-secures-universitys-commitment-to-eep-sustainability.html,2026-07-24,official_commissioned,official_supplement,"REA source uses the former name Federal University of Agriculture Makurdi and lists 8.3 MW; current operating performance requires verification."
rea-eep-fupre,Federal University of Petroleum Resources Effurun solar-hybrid plant,captive_off_grid,Energizing Education Programme Phase I,Delta,Uvwie,Ugbomro campus,Rural Electrification Agency,Federal University of Petroleum Resources Effurun,solar_hybrid,commissioned,1100,,Federal Government of Nigeria,5.562500,5.780000,campus,"Public university coordinate; facility position within campus not identified",REA Energizing Education Programme sustainability release,https://www.dares.rea.gov.ng/energizing-education-rea-secures-universitys-commitment-to-eep-sustainability.html,2026-07-24,official_commissioned,official_supplement,"REA lists 1.1 MW and states that seven Phase I solar-hybrid sites were commissioned; current operating performance requires verification."
rea-eep-funai,Alex Ekwueme Federal University Ndufu-Alike solar-hybrid plant,captive_off_grid,Energizing Education Programme Phase I,Ebonyi,Ikwo,Ndufu-Alike campus,Rural Electrification Agency,Alex Ekwueme Federal University Ndufu-Alike,solar_hybrid,commissioned,2800,,Federal Government of Nigeria,6.131894,8.143583,campus,"OpenStreetMap university centroid; facility position within campus not identified",REA Energizing Education Programme sustainability release,https://www.dares.rea.gov.ng/energizing-education-rea-secures-universitys-commitment-to-eep-sustainability.html,2026-07-24,official_commissioned,official_supplement,"REA lists 2.8 MW and states that seven Phase I solar-hybrid sites were commissioned; current operating performance requires verification."
rea-eep-unizik,Nnamdi Azikiwe University Awka solar-hybrid plant,captive_off_grid,Energizing Education Programme Phase I,Anambra,Awka North,Awka campus,Rural Electrification Agency,Nnamdi Azikiwe University,solar_hybrid,commissioned,4400,,Federal Government of Nigeria,6.247709,7.116729,campus,"OpenStreetMap university centroid; facility position within campus not identified",REA Energizing Education Programme sustainability release,https://www.dares.rea.gov.ng/energizing-education-rea-secures-universitys-commitment-to-eep-sustainability.html,2026-07-24,official_commissioned,official_supplement,"REA page spells Awka as Akwa and lists 4.4 MW; current operating performance requires verification."
rea-eep-udus,Usmanu Danfodiyo University Sokoto solar-hybrid plant,captive_off_grid,Energizing Education Programme Phase I,Sokoto,Wamako,Main campus,Rural Electrification Agency,Usmanu Danfodiyo University Sokoto,solar_hybrid,commissioned,4400,,Federal Government of Nigeria,13.126573,5.208389,campus,"OpenStreetMap university centroid; facility position within campus not identified",REA Energizing Education Programme sustainability release,https://www.dares.rea.gov.ng/energizing-education-rea-secures-universitys-commitment-to-eep-sustainability.html,2026-07-24,official_commissioned,official_supplement,"REA lists 4.4 MW and states that seven Phase I solar-hybrid sites were commissioned; current operating performance requires verification."
rea-damau-2026,Damau Village solar mini-grid,mini_grid,REA Federal Capital Project,Kaduna,Kubau,Damau,Rural Electrification Agency,,solar,operational,100,2500,Federal Government of Nigeria,10.900332,8.435140,community,OpenStreetMap Damau community centroid,REA delivers 100 kWp mini-grid in Damau Village,https://rea.gov.ng/news/REA-Delivers-100kWp-Mini-Grid-in-Damau-Village/REA-Delivers-100kWp-Mini-Grid.html,2026-07-24,official_operational,official_supplement,"Commissioned January 2026; source says the system was already powering households, businesses, public infrastructure and a borehole. The 2,500 figure is residents impacted, stored in customers_served only as a broad beneficiary count."
rea-nep-ibaragun,Ibaragun Ijoko interconnected solar-hybrid mini-grid,interconnected_mini_grid,Nigeria Electrification Programme,Ogun,Ifo,Ibaragun Ijoko,Darway Coast Nigeria Limited,Darway Coast Nigeria Limited,solar_hybrid,operational,1076.4,7000,"REA-NEP / private and development partners",6.759967,3.317055,exact_site,NEMSA inspection application GPS coordinate,REA-NEP Ibaragun impact assessment,https://nep.rea.gov.ng/posts/feature-article-beyond-power-supply.html,2026-07-24,official_operational,official_supplement,"REA reports stable electricity and more than 7,000 connections. Capacity and coordinate come from the NEMSA inspection record: https://nemsa.gov.ng/admin-request-for-inspection-rea-solar-mini-grid/entry/1511981/."
rea-epe-2026,Eredo-Epe interconnected solar mini-grid,interconnected_mini_grid,REF Interconnected Mini-Grid Acceleration Scheme,Lagos,Epe,"Odogbawojo; Odoshiwola; Odoayan; Ora; Ibowon",A4&T Power Solutions Limited,"A4&T Power Solutions Limited / electricity distribution partner",solar_hybrid,commissioned,505,,"European Union; German Government; GIZ/NESP",6.642357,3.989839,community,OpenStreetMap Eredo community centroid,REA commissions 505 kWp interconnected solar mini-grid in Epe,https://rea.gov.ng/news/REA-505kWp-MINI-GRID-COMMISIONING.html,2026-07-24,official_commissioned,official_supplement,"Commissioned 24 June 2026 to serve five communities. Coordinate represents Eredo community, not a verified plant parcel."
rea-yobe-potiskum,General Hospital Potiskum containerized solar mini-grid,public_institution_off_grid,REA public-institution energy access,Yobe,Potiskum,General Hospital Potiskum,Rural Electrification Agency,General Hospital Potiskum,solar_battery,commissioned,50,,Public funding,11.720763,10.990742,facility,OpenStreetMap hospital point,REA June 2025 newsletter,https://rea.gov.ng/june2025-newsletter.pdf,2026-07-24,official_deployed,official_supplement,"REA described this 50 kW containerized system as part of its impact footprint in Yobe; current operating performance requires verification."
rea-yobe-damaturu,Yobe State Specialist Hospital containerized solar mini-grid,public_institution_off_grid,REA public-institution energy access,Yobe,Damaturu,Yobe State Specialist Hospital,Rural Electrification Agency,Yobe State Specialist Hospital,solar_battery,commissioned,50,,Public funding,11.729647,11.956617,facility,OpenStreetMap hospital point,REA June 2025 newsletter,https://rea.gov.ng/june2025-newsletter.pdf,2026-07-24,official_deployed,official_supplement,"REA described this 50 kW containerized system as part of its impact footprint in Yobe; current operating performance requires verification."
rea-offa-2026,Offa solar-hybrid mini-grid,mini_grid,REA distributed renewable energy programme,Kwara,Offa,Offa,Rural Electrification Agency,,solar_hybrid,commissioned,704,3000,Public programme,8.156001,4.722744,community,OpenStreetMap Offa town centroid,REA Epe mini-grid commissioning release,https://rea.gov.ng/news/REA-505kWp-MINI-GRID-COMMISIONING.html,2026-07-24,official_commissioned,official_supplement,"REA's June 2026 release describes a recently commissioned 704 kW system in Offa serving over 3,000 customers. Coordinate is the Offa town centroid, not a verified plant parcel."
