PORT_NAME,HARBORSIZE,HARBORTYPE,SHELTER,CARGOWHARF,CARGO_ANCH,CRANEFIXED,CRANEMOBIL,RAILWAY,COMM_RAIL,MAX_VESSEL,geometry
ANTAN OIL TERMINAL,S,OR,P,,Y,,,,,L,POINT (8.333333333333334 4.216666666666667)
BONNY,M,RN,G,Y,Y,,,,,L,POINT (7.166666666666667 4.45)
BONNY OFFSHORE TERMINAL,V,OR,P,,Y,,,,,L,POINT (7.233333333333333 4.183333333333334)
BRASS OIL TERMINAL,V,OR,P,,Y,Y,,,,L,POINT (6.283333333333333 4.066666666666666)
BURUTU,V,RN,G,Y,Y,Y,Y,,Y,M,POINT (5.5 5.35)
CALABAR,V,RN,E,Y,Y,Y,Y,,,L,POINT (8.316666666666666 4.966666666666667)
ESCRAVOS OIL TERMINAL,V,OR,P,,Y,N,,,,L,POINT (5 5.5)
FORCADOS,V,RN,F,Y,Y,,,,,L,POINT (5.433333333333334 5.366666666666666)
FORCADOS OIL TERMINAL,V,OR,P,,Y,,,,,L,POINT (5.183333333333334 5.166666666666667)
KOKO,V,RN,F,Y,,Y,,,,M,POINT (5.466666666666667 6)
LAGOS,L,RN,G,Y,Y,,Y,M,Y,L,POINT (3.4 6.4)
ODUDU TERMINAL,V,OR,P,,Y,,,,,L,POINT (7.766666666666667 4)
OKONO TERMINAL,V,OR,P,,Y,Y,,,,L,POINT (7.3 3.9833333333333334)
OKRIKA,V,RN,F,Y,,,,,,L,POINT (7.083333333333333 4.716666666666667)
OKWORI TERMINAL,V,OR,P,,,,,,,L,POINT (6.983333333333333 3.85)
ONNE,V,RN,F,,,,,,,L,POINT (7.15 4.683333333333334)
PENNINGTON OIL TERMINAL,L,OR,P,,,N,,,,L,POINT (5.616666666666667 4.25)
PORT HARCOURT,V,RN,F,Y,Y,Y,Y,M,Y,L,POINT (7 4.766666666666667)
QUA IBOE OIL TERMINAL,V,OR,P,,Y,,,,,L,POINT (8.033333333333333 4.233333333333333)
SAPELE,V,RN,F,Y,Y,,,,,L,POINT (5.683333333333334 5.9)
SEA EAGLE TERMINAL,V,OR,P,,Y,,,,,L,POINT (5.316666666666666 4.8)
TIN CAN ISLAND,V,RN,F,Y,,Y,Y,,N,L,POINT (3.35 6.35)
UKPOKITI MARINE TERMINAL,V,OR,P,,,,,,,L,POINT (4.833333333333333 5.716666666666667)
WARRI,V,RN,G,Y,Y,Y,Y,S,,L,POINT (5.733333333333333 5.516666666666667)
YOHO TERMINAL,V,OR,P,,Y,,,,,,POINT (7.466666666666667 4.016666666666667)
